Γ L Y$_1$.|B$_0$. T $~S$_1$.|Q$_0$. F C$_1$. T|L C
0.0 0.63875 1.1405 1.68979 3.06454 3.33919 3.57788 4.05358 4.47348
0.0 -166.8852837 -166.8852837 -160.9777114 -160.9777114 -117.4346042 -117.4346042 -115.9234661 -115.9234661 -111.7365051 -111.7365051 -111.7255495 -111.7255495 -107.9718215 -107.9718215 -107.9543469 -107.9543469 -38.8074265 -38.8074265 -38.7860619 -38.7860619 -37.3721688 -37.3721688 -37.3554145 -37.3554145 -37.3422805 -37.3422805 -26.3454574 -26.3454574 -26.3328488 -26.3328488 -25.7685145 -25.7685145 -25.7591047 -25.7591047 -25.7492112 -25.7492112 -13.7199041 -13.7199041 -5.2873605 -5.2873605 -3.0141236 -3.0141236 -2.3507655 -2.3507655 -2.261388 -2.261388 1.9087049 1.9087049 2.6215329 2.6215329 2.8661642 2.8661642 6.2025794 6.2025794 6.2328208 6.2328208 6.9210339 6.9210339 7.5660591 7.5660591 7.5660634 7.5660634 9.3597525 9.3597525 19.5527667 19.5527667 21.9943403 21.9943403 22.0454115 22.0454115 23.2490855 23.2490855 24.05025 24.05025 24.3315671 24.3315671 29.7163808 29.7163808 29.7305424 29.7305424 30.7063855 30.7063855 32.4004848 32.4004848 32.9735119 32.9735119 40.2335419 40.2335419
0.0155794 -166.8852839 -166.8852837 -160.9777114 -160.9777114 -117.4346043 -117.434604 -115.9234664 -115.9234649 -111.7365044 -111.7365044 -111.7255502 -111.7255482 -107.9718213 -107.9718213 -107.9543475 -107.954346 -38.8074257 -38.8074254 -38.7860639 -38.7860594 -37.3721686 -37.3721659 -37.3554149 -37.3554146 -37.3422808 -37.3422782 -26.3454585 -26.3454559 -26.3328667 -26.332832 -25.7685242 -25.7685037 -25.7591078 -25.7591054 -25.74922 -25.7492 -13.7184702 -13.718336 -5.2998054 -5.2911406 -3.0367691 -2.9889783 -2.3683877 -2.3354949 -2.2587146 -2.2574834 1.8930156 1.9229455 2.6073197 2.6292816 2.8622947 2.8625351 6.1977717 6.1980596 6.2270199 6.2277429 6.8819614 6.8832241 7.5836108 7.5860533 7.6147991 7.6201333 9.3656017 9.368901 19.5481117 19.548575 21.9526408 21.9573647 22.0176436 22.0237746 23.2595859 23.272215 24.043552 24.0774208 24.3394232 24.3407728 29.6568436 29.6655894 29.7021676 29.7050962 30.7458777 30.7848888 32.3872386 32.4112249 32.967471 32.9687391 40.226896 40.2357785
0.0311588 -166.8852841 -166.8852837 -160.9777115 -160.9777115 -117.4346043 -117.4346038 -115.923466 -115.9234631 -111.7365024 -111.7365024 -111.7255501 -111.7255462 -107.9718206 -107.9718206 -107.9543479 -107.9543449 -38.807423 -38.8074224 -38.7860654 -38.7860563 -37.3721653 -37.3721599 -37.3554158 -37.3554153 -37.3422791 -37.3422739 -26.3454592 -26.3454541 -26.3328857 -26.3328165 -25.7685325 -25.7684915 -25.7591149 -25.75911 -25.7492265 -25.7491867 -13.714035 -13.7137669 -5.3280153 -5.311196 -3.0561568 -2.9625112 -2.3850761 -2.3270141 -2.2520084 -2.2432042 1.8757379 1.9356124 2.5866443 2.6305862 2.8510314 2.8513931 6.183617 6.1842242 6.2112146 6.212142 6.7945646 6.7954333 7.6374655 7.6420531 7.7402963 7.7495988 9.3863901 9.3928782 19.5344669 19.5353977 21.8166876 21.8337147 21.9712939 21.973726 23.290304 23.313539 24.0605345 24.1200534 24.3647612 24.3709107 29.5061986 29.5130788 29.6397401 29.6426736 30.8748013 30.9453711 32.3647349 32.4152859 32.9572838 32.9574942 40.2153187 40.2327969
0.0467381 -166.8852844 -166.8852838 -160.9777117 -160.9777117 -117.4346043 -117.4346035 -115.9234648 -115.9234606 -111.7364992 -111.7364991 -111.7255493 -111.7255437 -107.9718195 -107.9718195 -107.954348 -107.9543435 -38.8074185 -38.8074177 -38.7860663 -38.7860528 -37.3721589 -37.3721508 -37.3554172 -37.3554164 -37.3422755 -37.3422676 -26.3454595 -26.3454519 -26.3329056 -26.3328023 -25.7685395 -25.7684781 -25.7591258 -25.7591183 -25.7492307 -25.7491712 -13.7066011 -13.7061996 -5.3711848 -5.3471497 -3.0719621 -2.9362217 -2.3994003 -2.3261655 -2.2418956 -2.2182556 1.8565032 1.9462968 2.5595723 2.6254414 2.8325871 2.8328045 6.1593318 6.1626294 6.1851837 6.1878505 6.6976978 6.6983801 7.7236436 7.7298733 7.9059907 7.9185103 9.4218391 9.431303 19.5113878 19.5128047 21.6171977 21.64277 21.9035776 21.9038039 23.3169645 23.3449276 24.1009906 24.1696915 24.4112041 24.4290774 29.3108249 29.3115499 29.5406464 29.5436894 31.0416846 31.1400877 32.3193585 32.3994631 32.9543325 32.9574386 40.1970279 40.2225594
0.0623175 -166.8852848 -166.885284 -160.977712 -160.9777119 -117.4346041 -117.4346031 -115.9234628 -115.9234576 -111.7364948 -111.7364947 -111.7255478 -111.7255408 -107.9718179 -107.9718179 -107.9543479 -107.954342 -38.8074122 -38.807411 -38.7860667 -38.7860488 -37.3721494 -37.3721387 -37.3554192 -37.3554181 -37.3422698 -37.3422594 -26.3454595 -26.3454494 -26.3329263 -26.3327895 -25.7685453 -25.7684634 -25.7591407 -25.7591302 -25.7492324 -25.7491537 -13.6961729 -13.6956391 -5.4282587 -5.398237 -3.0842371 -2.9117399 -2.4109662 -2.330251 -2.228 -2.1858113 1.8347685 1.9543062 2.5262653 2.6137616 2.8069136 2.8073051 6.1206969 6.1331513 6.1502362 6.160493 6.6135783 6.6161596 7.8371922 7.8445462 8.0930639 8.1086505 9.471478 9.4836158 19.478081 19.4800381 21.3803856 21.4115189 21.8105464 21.8125752 23.3249146 23.349941 24.1572991 24.2181124 24.483179 24.518718 29.0872484 29.0937242 29.4093421 29.4122504 31.2099712 31.3360981 32.2439096 32.3534471 32.9754355 32.9808974 40.1692185 40.2020556
0.0778969 -166.8852852 -166.8852843 -160.9777122 -160.9777122 -117.4346039 -117.4346027 -115.9234601 -115.9234541 -111.7364894 -111.7364894 -111.7255455 -111.7255374 -107.971816 -107.9718159 -107.9543474 -107.9543403 -38.807404 -38.8074026 -38.7860663 -38.7860443 -37.3721369 -37.3721236 -37.3554215 -37.3554201 -37.342262 -37.3422492 -26.345459 -26.3454466 -26.3329477 -26.3327781 -25.7685497 -25.7684476 -25.7591593 -25.7591457 -25.7492317 -25.7491343 -13.6827575 -13.6820926 -5.498032 -5.4633883 -3.0933114 -2.8905617 -2.4199915 -2.3371324 -2.2095367 -2.1484338 1.8098857 1.9586856 2.4870014 2.5953311 2.7739431 2.7756783 6.0638045 6.0813635 6.1239675 6.1378089 6.554045 6.5580634 7.9733707 7.9814029 8.2932227 8.3119676 9.5346867 9.5491228 19.4333301 19.4359505 21.1215371 21.1564606 21.6950294 21.6984624 23.3114512 23.3281688 24.2183057 24.263701 24.5812565 24.6336052 28.8513151 28.864564 29.2509121 29.2533713 31.3460061 31.4949956 32.1598295 32.2904168 33.0252038 33.0299618 40.1284223 40.1676642
0.0934763 -166.8852858 -166.8852847 -160.9777126 -160.9777125 -117.4346037 -117.4346023 -115.9234568 -115.9234502 -111.7364832 -111.7364832 -111.7255426 -111.7255338 -107.9718136 -107.9718136 -107.9543467 -107.9543385 -38.8073941 -38.8073924 -38.7860653 -38.7860392 -37.3721215 -37.3721057 -37.3554242 -37.3554225 -37.3422523 -37.342237 -26.3454581 -26.3454434 -26.3329695 -26.3327683 -25.7685529 -25.7684306 -25.7591815 -25.7591645 -25.7492284 -25.7491129 -13.6663648 -13.6655703 -5.5792396 -5.5413351 -3.0996778 -2.8737744 -2.4271 -2.3457815 -2.1857104 -2.107541 1.7811832 1.9582652 2.4421836 2.5697805 2.7341934 2.7383434 5.9941796 6.0133846 6.1083847 6.1228307 6.5201158 6.5247043 8.1282079 8.1365672 8.50245 8.5245334 9.6107445 9.6270405 19.3754026 19.3789236 20.8503451 20.8881204 21.5582945 21.5628952 23.280449 23.2869086 24.2778464 24.3088095 24.6994659 24.7631074 28.6084877 28.6275141 29.0701532 29.0718765 31.4023113 31.5387739 32.1424397 32.2557541 33.0965582 33.0985162 40.0709328 40.1155651
0.1090557 -166.8852863 -166.8852851 -160.9777129 -160.9777128 -117.4346033 -117.4346018 -115.923453 -115.9234461 -111.7364763 -111.7364763 -111.7255391 -111.7255299 -107.9718109 -107.9718109 -107.9543457 -107.9543365 -38.8073823 -38.8073804 -38.7860636 -38.7860336 -37.3721031 -37.372085 -37.3554273 -37.3554252 -37.3422406 -37.342223 -26.3454567 -26.3454399 -26.3329917 -26.3327601 -25.7685549 -25.7684125 -25.7592073 -25.7591864 -25.7492227 -25.7490899 -13.6470077 -13.6460857 -5.6706235 -5.6307145 -3.1038884 -2.8618758 -2.4331157 -2.3557033 -2.1560418 -2.0639896 1.7480499 1.951743 2.3923282 2.536635 2.6880354 2.696015 5.9212349 5.9414665 6.1024903 6.1172721 6.5069596 6.5114502 8.2985775 8.3069965 8.7185367 8.7441796 9.6988771 9.7165347 19.3019445 19.3067684 20.573671 20.6140001 21.4017625 21.4073618 23.234482 23.2379968 24.3352457 24.3552121 24.8289971 24.8985834 28.3608633 28.3844723 28.8713106 28.872064 31.3362841 31.4178897 32.2432668 32.2955389 33.1788297 33.1803069 39.9932325 40.0421487
0.124635 -166.885287 -166.8852856 -160.9777132 -160.9777131 -117.4346029 -117.4346013 -115.9234487 -115.9234418 -111.736469 -111.736469 -111.725535 -111.7255258 -107.9718079 -107.9718078 -107.9543444 -107.9543345 -38.8073689 -38.8073667 -38.7860612 -38.7860275 -37.372082 -37.3720615 -37.3554305 -37.3554282 -37.3422269 -37.342207 -26.3454549 -26.345436 -26.3330141 -26.3327535 -25.7685556 -25.7683934 -25.7592365 -25.7592112 -25.7492145 -25.7490651 -13.6247033 -13.623656 -5.770978 -5.7301561 -3.1064764 -2.8547715 -2.4388321 -2.3666158 -2.1205647 -2.0183967 1.7100108 1.9378092 2.3380304 2.4954746 2.6358924 2.6493251 5.8532448 5.874317 6.1075899 6.1225988 6.5092158 6.5132837 8.4820716 8.4903459 8.9401183 8.9695824 9.7982991 9.8167477 19.2099001 19.2166253 20.2970732 20.3401744 21.2268179 21.233283 23.1781094 23.1903628 24.3913765 24.4033202 24.9626237 25.03456 28.1094367 28.1363824 28.6576734 28.6580725 31.1615853 31.197316 32.3995146 32.3997705 33.2645567 33.2693078 39.8923693 39.9443786
0.1402144 -166.8852877 -166.8852862 -160.9777136 -160.9777135 -117.4346024 -117.4346007 -115.923444 -115.9234373 -111.7364614 -111.7364614 -111.7255305 -111.7255216 -107.9718046 -107.9718045 -107.9543428 -107.9543323 -38.8073537 -38.8073514 -38.7860579 -38.7860208 -37.3720581 -37.3720355 -37.3554339 -37.3554313 -37.3422113 -37.3421892 -26.3454526 -26.3454318 -26.3330365 -26.3327485 -25.7685551 -25.7683734 -25.7592688 -25.7592388 -25.7492038 -25.7490389 -13.5994726 -13.5983027 -5.8791747 -5.8383421 -3.1079075 -2.8519339 -2.4448396 -2.3783222 -2.0798241 -1.9712648 1.6667802 1.9153141 2.279902 2.446184 2.5782107 2.5986012 5.7960899 5.8179862 6.1246709 6.1398133 6.5231786 6.526706 8.6768353 8.6848034 9.166249 9.1998713 9.9082531 9.9268145 19.0955675 19.1049348 20.0256603 20.072103 21.0347641 21.0419857 23.1237328 23.1432585 24.4467039 24.4526691 25.095746 25.1678842 27.8547786 27.8838114 28.4320028 28.4336945 30.9186844 30.9273155 32.5297487 32.5637088 33.35097 33.3585134 39.7662482 39.8200789
