name,status,total_energy,formation_energy,fermi_level,vacuum_level,workfunction,metal_type,gap,vbm_energy,cbm_energy,vbm_coordi,cbm_coordi,vbm_index,cbm_index
POSCAR-AsBrTe-156-POSCAR-GeTe2-164,done,-22.208419,0.26616100000000387,-1.0042055,5.155,6.159,metal,-0.8676,-0.5547,-0.5547,"['0.105263', '0.000000', '0.000000']","['0.482456', '0.035088', '0.000000']",22,23
POSCAR-Ti2I6-189-POSCAR-W2I6-162,done,-69.027488,-3.111588,0.1276792,4.596,4.468,metal,-0.3057,0.2948,0.2948,"['0.157895', '-0.157895', '0.000000']","['0.310649', '0.336965', '0.000000']",68,69
POSCAR-HfTe2-187-POSCAR-PtTe2-187,done,-33.212728,-1.647298,0.27712251,5.055,4.778,metal,-0.9727,1.0593,1.0593,"['0.000000', '0.000000', '0.000000']","['0.421053', '0.000000', '0.000000']",22,23
POSCAR-GeS-156-POSCAR-VSeTe-156,done,-27.692431,-1.477141,-0.82763091,4.264,5.091,metal,-2.7078,2.7078,2.7078,"['0.026316', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-HfBrI-156-POSCAR-OsCl2-164,done,-31.701366,-2.169086,0.79976796,4.057,3.257,indirect,0.47,0.5963,0.5963,"['0.333333', '0.333333', '0.000000']","['0.236842', '0.000000', '0.000000']",23,24
POSCAR-BiS2-164-POSCAR-CdCl2-164,done,-21.210225,-3.441075,-2.53031215,3.674,6.204,metal,-4.0783,4.0783,4.0783,"['0.315790', '0.315790', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Bi2Hf-187-POSCAR-TiBrCl-156,done,-35.185877,-4.031487,1.15616484,5.229,4.072,metal,-1.5395,2.1125,2.1125,"['0.078947', '0.000000', '0.000000']","['0.421053', '0.157895', '0.000000']",33,34
POSCAR-Al2I6-162-POSCAR-RuCl2-164,done,-81.054527,-8.160967,-0.65968819,3.979,4.638,indirect,1.1472,-0.9432,-0.9432,"['0.500000', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",80,81
POSCAR-BP-187-POSCAR-Sc3F2N2-187,done,-71.421242,-18.640712,-0.08044207,4.144,4.225,metal,-3.4138,3.4138,3.4138,"['0.157895', '0.157895', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-MoSb2-164-POSCAR-W2I6-189,done,-116.4398,5.120099999999994,1.557956,6.038,4.48,metal,-0.4504,1.8307,1.8307,"['0.105263', '0.000000', '0.000000']","['0.473684', '0.052632', '0.000000']",83,84
