# omega(eV),chi(uA/V^2) 2-xxx 3-xxy 4-xxz 5-xyx 6-xyy 7-xyz 8-xzx 9-xzy 10-xzz 11-yxx 12-yxy 13-yxz 14-yyx 15-yyy 16-yyz 17-yzx 18-yzy 19-yzz 20-zxx 21-zxy 22-zxz 23-zyx 24-zyy 25-zyz 26-zzx 27-zzy 28-zzz 
0.0000000000000000000000000 0.0011683468187250944589350 0.0162090822358598972419141 0.0014757561755715923636212 0.0162090822358598972419141 -0.0326461863904011703740871 -0.3948198258732403820303603 0.0014757561755715923636212 -0.3948198258732403820303603 -0.0025326785940492733267826 -0.0647562918252876096314452 -0.0071094894778616930103299 0.4055594528928954112245719 -0.0071094894778616930103299 -0.0389336736131965580054448 -0.0120964821345020991094632 0.4055594528928954112245719 -0.0120964821345020991094632 -0.0101543448763142443030949 -0.0080881857629587893682155 -0.0054430477571760609023510 0.0017987186239778547771490 -0.0054430477571760609023510 -0.0152970632380990782805963 0.0126764832820647922045909 0.0017987186239778547771490 0.0126764832820647922045909 0.0031670372448083564630161 
0.0100000000000000002081668 0.0010567903839213891974136 0.0146614018752267080691887 0.0013348475900773436580299 0.0146614018752267080691887 -0.0295290536131766999383697 -0.2711410681206563033640577 0.0013348475900773436580299 -0.2711410681206563033640577 -0.0022908526311343200589088 -0.0585732125104264714221536 -0.0064306591111071573566016 0.2808552509123823925918373 -0.0064306591111071573566016 -0.0352161971304751006406342 -0.0109414822671518013191827 0.2808552509123823925918373 -0.0109414822671518013191827 -0.0091847847302508403566357 -0.0073159072294552872015028 -0.0049233330692499939831852 0.0016269728429332615694120 -0.0049233330692499939831852 -0.0138364645438357192208656 0.0114661035744428509847159 0.0016269728429332615694120 0.0114661035744428509847159 0.0028646412624914311707836 
0.0200000000000000004163336 0.0007802507618461029326520 0.0108248240679715609230405 0.0009855462965336020484536 0.0108248240679715609230405 -0.0218019267854395841499393 0.0960283755185949855492922 0.0009855462965336020484536 0.0960283755185949855492922 -0.0016913851014320820283221 -0.0432458455144197409514284 -0.0047478920577590450272099 -0.0888561882626024979181523 -0.0047478920577590450272099 -0.0260008655055192529348407 -0.0080783284976857598624900 -0.0888561882626024979181523 -0.0080783284976857598624900 -0.0067813214352448018817920 -0.0054014895253799693336516 -0.0036350012608701519865873 0.0012012285686043002938539 -0.0036350012608701519865873 -0.0102157553339177354506662 0.0084656675394853674737616 0.0012012285686043002938539 0.0084656675394853674737616 0.0021150254217309886507759 
0.0299999999999999988897770 0.0004673473332846474486042 0.0064837522867384955391201 0.0005903133403094525718385 0.0064837522867384955391201 -0.0130587150204479734288965 0.6075307488344667827817602 0.0005903133403094525718385 0.6075307488344667827817602 -0.0010130900927828416502319 -0.0259029937101063478799290 -0.0028438481580496505728151 -0.6032348189209622013606804 -0.0028438481580496505728151 -0.0155737562218235311289893 -0.0048386819537208549529828 -0.6032348189209622013606804 -0.0048386819537208549529828 -0.0040618127451242259234876 -0.0032353338809094512457110 -0.0021772591951088452778829 0.0007195006985702713780267 -0.0021772591951088452778829 -0.0061189379699004087589942 0.0050706866849013956105585 0.0007195006985702713780267 0.0050706866849013956105585 0.0012668382255982058633842 
0.0400000000000000008326673 0.0002252638209596520535959 0.0031252019859815778277112 0.0002845340694605983213397 0.0031252019859815778277112 -0.0062943678770047348236538 1.0106991893098307144782666 0.0002845340694605983213397 1.0106991893098307144782666 -0.0004883146409604878111430 -0.0124853763385035700789194 -0.0013707494546933065432404 -1.0086285289724767899599556 -0.0013707494546933065432404 -0.0075066306856265601135658 -0.0023322696152728228033424 -1.0086285289724767899599556 -0.0023322696152728228033424 -0.0019578146567592689258896 -0.0015594475888042306794407 -0.0010494501423879119567789 0.0003468030413019509202582 -0.0010494501423879119567789 -0.0029493596068834487984589 0.0024440970902647866404289 0.0003468030413019509202582 0.0024440970902647866404289 0.0006106225474819972466947 
0.0500000000000000027755576 0.0000866660516016114521954 0.0012023631465240232959329 0.0001094691737021363114619 0.0012023631465240232959329 -0.0024216405851057005126081 1.0826456367705177274984862 0.0001094691737021363114619 1.0826456367705177274984862 -0.0001878699459524487639511 -0.0048035155638266402791658 -0.0005273702739323991037571 -1.0818489888451143787762021 -0.0005273702739323991037571 -0.0028880360794018909535719 -0.0008972972133422078572923 -1.0818489888451143787762021 -0.0008972972133422078572923 -0.0007532326555522654131652 -0.0005999683598529427855373 -0.0004037563590969128648860 0.0001334259986504570652446 -0.0004037563590969128648860 -0.0011347110724392911636216 0.0009403207475989357969764 0.0001334259986504570652446 0.0009403207475989357969764 0.0002349256306707339842822 
0.0599999999999999977795540 0.0000264280021071627363926 0.0003666493994537704955404 0.0000333816009890574609737 0.0003666493994537704955404 -0.0007384566541286813074613 0.8409806914302631053459436 0.0000333816009890574609737 0.8409806914302631053459436 -0.0000572891834369469675199 -0.0014647871583722165463731 -0.0001608166341290702308197 -0.8407377610940549583773418 -0.0001608166341290702308197 -0.0008806795993229475953343 -0.0002736223954957941041470 -0.8407377610940549583773418 -0.0002736223954957941041470 -0.0002296912555989489819822 -0.0001829547416471109767214 -0.0001231217265874270136265 0.0000406870107605011177175 -0.0001231217265874270136265 -0.0003460195319999367067655 0.0002867420199926254886433 0.0000406870107605011177175 0.0002867420199926254886433 0.0000716383745231138235237 
0.0700000000000000066613381 0.0000063528239582177131528 0.0000881360262918126375481 0.0000080243460577744008005 0.0000881360262918126375481 -0.0001775119096917620383370 0.4932989455447090998418957 0.0000080243460577744008005 0.4932989455447090998418957 -0.0000137713057327533915618 -0.0003521089075574362773149 -0.0000386574725439700175368 -0.4932405493915134608862161 -0.0000386574725439700175368 -0.0002116997885046043091466 -0.0000657739810281264867349 -0.4932405493915134608862161 -0.0000657739810281264867349 -0.0000552137125359584125480 -0.0000439790817773169875784 -0.0000295962839346239467344 0.0000097804372619791539396 -0.0000295962839346239467344 -0.0000831769712760599644287 0.0000689277065517343822927 0.0000097804372619791539396 0.0000689277065517343822927 0.0000172205973065618277390 
0.0800000000000000016653345 0.0000011990376658177328290 0.0000166348722866493721093 0.0000015145222397904256900 0.0000166348722866493721093 -0.0000335037563142151140400 0.2226200259848272189344698 0.0000015145222397904256900 0.2226200259848272189344698 -0.0000025992085355353902280 -0.0000664573495589597309108 -0.0000072962458773261745963 -0.2226090042427399107172192 -0.0000072962458773261745963 -0.0000399564070789592678265 -0.0000124142399001138191818 -0.2226090042427399107172192 -0.0000124142399001138191818 -0.0000104210853961263231251 -0.0000083006511590266251701 -0.0000055860290507893488332 0.0000018459684598720820677 -0.0000055860290507893488332 -0.0000156988958130820737932 0.0000130094768695386201726 0.0000018459684598720820677 0.0000130094768695386201726 0.0000032502309097476827818 
0.0899999999999999966693309 0.0000001771999491128303461 0.0000024583869315941560953 0.0000002238238817200673917 0.0000024583869315941560953 -0.0000049513573223180588811 0.0780527366010336370871769 0.0000002238238817200673917 0.0780527366010336370871769 -0.0000003841243970407605389 -0.0000098214087145439456640 -0.0000010782767181892658565 -0.0780511077513358214607919 -0.0000010782767181892658565 -0.0000059049632186866798535 -0.0000018346401831143957679 -0.0780511077513358214607919 -0.0000018346401831143957679 -0.0000015400815656480166500 -0.0000012267128949860039690 -0.0000008255320852886401359 0.0000002728067064661926748 -0.0000008255320852886401359 -0.0000023200635160620225383 0.0000019226073616000063144 0.0000002728067064661926748 0.0000019226073616000063144 0.0000004803358304631185852 
0.1000000000000000055511151 0.0000000204667736273464202 0.0000002839461829355764433 0.0000000258518853227278398 0.0000002839461829355764433 -0.0000005718867908506982939 0.0213734748800408838609322 0.0000000258518853227278398 0.0213734748800408838609322 -0.0000000443667569889392864 -0.0000011343826629665828521 -0.0000001245420538405434951 -0.0213732867462496263499805 -0.0000001245420538405434951 -0.0000006820292380877164708 -0.0000002119028011101647687 -0.0213732867462496263499805 -0.0000002119028011101647687 -0.0000001778809821075777014 -0.0000001416865831914111947 -0.0000000953497925486132509 0.0000000315094508646448060 -0.0000000953497925486132509 -0.0000002679696878311606214 0.0000002220630991978134108 0.0000000315094508646448060 0.0000002220630991978134108 0.0000000554792754002455487 
0.1100000000000000005551115 0.0000000018452428633685436 0.0000000256000136738302954 0.0000000023307537230993569 0.0000000256000136738302954 -0.0000000515601567926453884 0.0045837551784421023612359 0.0000000023307537230993569 0.0045837551784421023612359 -0.0000000040000170250886128 -0.0000001022736469899759704 -0.0000000112284596633529928 -0.0045837382166799417460012 -0.0000000112284596633529928 -0.0000000614903769684376675 -0.0000000191047280714776799 -0.0045837382166799417460012 -0.0000000191047280714776799 -0.0000000160373896360291834 -0.0000000127741758790841730 -0.0000000085965444303259727 0.0000000028408283097360236 -0.0000000085965444303259727 -0.0000000241596051254298655 0.0000000200207599894994391 0.0000000028408283097360236 0.0000000200207599894994391 0.0000000050018992897081295 
0.1199999999999999955591079 0.0000000001297551830311186 0.0000000018001612089395734 0.0000000001638957137875673 0.0000000018001612089395734 -0.0000000036256462951330635 0.0007708604820436177522749 0.0000000001638957137875673 0.0007708604820436177522749 -0.0000000002812762218712602 -0.0000000071917559932834117 -0.0000000007895713414528473 -0.0007708592893135523226034 -0.0000000007895713414528473 -0.0000000043239270419878768 -0.0000000013434207832287590 -0.0007708592893135523226034 -0.0000000013434207832287590 -0.0000000011277293488679431 -0.0000000008982642080514904 -0.0000000006044983300282304 0.0000000001997635083001478 -0.0000000006044983300282304 -0.0000000016988734557824044 0.0000000014078350009661950 0.0000000001997635083001478 0.0000000014078350009661950 0.0000000003517273550226452 
0.1300000000000000044408921 0.0000000000071127035678372 0.0000000000986782556379606 0.0000000000089841642195726 0.0000000000986782556379606 -0.0000000001987446783156320 0.0001016962853078454473562 0.0000000000089841642195726 0.0001016962853078454473562 -0.0000000000154185325106420 -0.0000000003942257674920683 -0.0000000000432814122544106 -0.0001016962199267454586109 -0.0000000000432814122544106 -0.0000000002370218709755037 -0.0000000000736414157320438 -0.0001016962199267454586109 -0.0000000000736414157320438 -0.0000000000618179993021933 -0.0000000000492395604054805 -0.0000000000331363863609058 0.0000000000109503023092073 -0.0000000000331363863609058 -0.0000000000931260298576870 0.0000000000771723674344738 0.0000000000109503023092073 0.0000000000771723674344738 0.0000000000192804077309182 
0.1400000000000000133226763 0.0000000000003038336964890 0.0000000000042152463297268 0.0000000000003837772460138 0.0000000000042152463297268 -0.0000000000084897914884062 0.0000105234732795466575631 0.0000000000003837772460138 0.0000105234732795466575631 -0.0000000000006586343206926 -0.0000000000168401709882069 -0.0000000000018488550089458 -0.0000105234704866576838159 -0.0000000000018488550089458 -0.0000000000101248806663158 -0.0000000000031457457792331 -0.0000105234704866576838159 -0.0000000000031457457792331 -0.0000000000026406840193683 -0.0000000000021033699769976 -0.0000000000014154892131759 0.0000000000004677645490618 -0.0000000000014154892131759 -0.0000000000039780712991844 0.0000000000032965776422371 0.0000000000004677645490618 0.0000000000032965776422371 0.0000000000008236026058510 
